скважина;ствол;название_залежи;месяц;год;закачка_воды_технологическая_м3;приемистость_тех__расчетная;закачка_технологическая_с_начала_эксплуатации_м3;время_работы_с_начала_эксплуатации_сут
927;1;Тульский пласт Тл2а;4;1988;292;10;24572;611
927;1;Тульский пласт Тл2а;5;1988;259;8;24831;642
927;1;Тульский пласт Тл2а;6;1988;509;17;25340;672
927;1;Тульский пласт Тл2а;7;1988;532;17;25872;703
927;1;Тульский пласт Тл2а;8;1988;520;17;26392;734
927;1;Тульский пласт Тл2а;9;1988;499;17;26891;764
927;1;Тульский пласт Тл2а;10;1988;567;18;27458;795
927;1;Тульский пласт Тл2а;11;1988;498;17;27956;825
927;1;Тульский пласт Тл2а;12;1988;511;16;28467;856
934;1;Тульский пласт Тл2б;7;1988;159;32;159;5
934;1;Тульский пласт Тл2б;8;1988;963;31;1122;36
934;1;Тульский пласт Тл2б;9;1988;924;31;2046;66
934;1;Тульский пласт Тл2б;10;1988;1049;34;3095;97
934;1;Тульский пласт Тл2б;11;1988;922;31;4017;127
934;1;Тульский пласт Тл2б;12;1988;946;31;4963;158
937;1;Тульский пласт Тл2б;1;1988;518;17;15895;568
937;1;Тульский пласт Тл2б;2;1988;516;18;16411;597
937;1;Тульский пласт Тл2б;3;1988;656;21;17067;628
937;1;Тульский пласт Тл2б;4;1988;389;13;17456;658
937;1;Тульский пласт Тл2б;5;1988;346;11;17802;689
937;1;Тульский пласт Тл2б;6;1988;680;23;18482;719
937;1;Тульский пласт Тл2б;7;1988;710;23;19192;750
937;1;Тульский пласт Тл2б;8;1988;694;22;19886;781
937;1;Тульский пласт Тл2б;9;1988;666;22;20552;811
937;1;Тульский пласт Тл2б;10;1988;757;24;21309;842
937;1;Тульский пласт Тл2б;11;1988;665;22;21974;872
937;1;Тульский пласт Тл2б;12;1988;682;22;22656;903
784;1;Тульский пласт Тл2б;8;1988;31;31;31;1
784;1;Тульский пласт Тл2б;9;1988;924;31;955;31
784;1;Тульский пласт Тл2б;10;1988;1049;34;2004;62
784;1;Тульский пласт Тл2б;11;1988;922;31;2926;92
784;1;Тульский пласт Тл2б;12;1988;946;31;3872;123
785;1;Тульский пласт Тл2б;11;1988;120;4;120;30
785;1;Тульский пласт Тл2б;12;1988;123;4;243;61
910;1;Тульский пласт Тл2б;1;1988;0;0;622;134
910;1;Тульский пласт Тл2б;2;1988;0;0;622;134
910;1;Тульский пласт Тл2б;3;1988;0;0;622;134
910;1;Тульский пласт Тл2б;4;1988;10;10;632;135
910;1;Тульский пласт Тл2б;5;1988;259;8;891;166
910;1;Тульский пласт Тл2б;6;1988;509;17;1400;196
910;1;Тульский пласт Тл2б;7;1988;335;11;1735;227
910;1;Тульский пласт Тл2б;8;1988;328;11;2063;258
910;1;Тульский пласт Тл2б;9;1988;314;10;2377;288
910;1;Тульский пласт Тл2б;10;1988;357;12;2734;319
910;1;Тульский пласт Тл2б;11;1988;314;10;3048;349
910;1;Тульский пласт Тл2б;12;1988;322;10;3370;380
